広告主	キャンペーン名	広告アカウント	目的	imp	CPM	クリック	クリック率	リーチ	フリークエンシー	消化額	配信開始	配信終了	配信期間
株式会社あゆみのほけん相談室	あゆみのほけん相談室_新年の家計見直し無料相談リード_2501	あゆみのほけん相談室	リード	1741573	712	19506	1.12%	1226460	1.42	1240000	2025/01/14	2025/02/13	2025/01/14〜2025/02/13
株式会社あゆみのほけん相談室	あゆみのほけん相談室_新生活ライフプラン相談リード_2504	あゆみのほけん相談室	リード	2187500	768	28000	1.28%	1358696	1.61	1680000	2025/04/07	2025/05/11	2025/04/07〜2025/05/11
株式会社あゆみのほけん相談室	あゆみのほけん相談室_学資保険オンライン相談リード_2509	あゆみのほけん相談室	リード	2677460	803	37752	1.41%	1424181	1.88	2150000	2025/09/01	2025/10/05	2025/09/01〜2025/10/05
株式会社あゆみのほけん相談室	あゆみのほけん相談室_年末保険見直しキャンペーンリード_2511	あゆみのほけん相談室	リード	1579710	690	24328	1.54%	1170156	1.35	1090000	2025/11/04	2025/12/14	2025/11/04〜2025/12/14
株式会社あゆみのほけん相談室	あゆみのほけん相談室_老後資金セミナー予約リード_2603	あゆみのほけん相談室	リード	1727811	845	23325	1.35%	992995	1.74	1460000	2026/03/02	2026/04/05	2026/03/02〜2026/04/05
株式会社あゆみのほけん相談室	あゆみのほけん相談室_ブランド認知_2502	あゆみのほけん相談室	認知	3283582	402	16418	0.50%	1397269	2.35	1320000	2025/02/20	2025/03/23	2025/02/20〜2025/03/23
株式会社あゆみのほけん相談室	あゆみのほけん相談室_相談無料訴求リーチ拡大認知_2506	あゆみのほけん相談室	認知	6775956	366	38623	0.57%	2437394	2.78	2480000	2025/06/02	2025/07/13	2025/06/02〜2025/07/13
株式会社あゆみのほけん相談室	あゆみのほけん相談室_新店舗オープン告知認知_2510	あゆみのほけん相談室	認知	2566964	448	16172	0.63%	1336960	1.92	1150000	2025/10/06	2025/11/09	2025/10/06〜2025/11/09
株式会社あゆみのほけん相談室	あゆみのほけん相談室_子育てファミリー層認知_2601	あゆみのほけん相談室	認知	2399050	421	16553	0.69%	1471810	1.63	1010000	2026/01/13	2026/02/15	2026/01/13〜2026/02/15
株式会社あゆみのほけん相談室	あゆみのほけん相談室_春の保険見直し認知_2604	あゆみのほけん相談室	認知	3688312	385	24343	0.66%	1668919	2.21	1420000	2026/04/13	2026/05/17	2026/04/13〜2026/05/17
