広告主	キャンペーン名	広告アカウント	目的	クリエイティブ形式	imp	CPM	クリック	クリック率	リーチ	フリークエンシー	消化額	配信開始	配信終了	配信期間
株式会社あゆみのほけん相談室	あゆみのほけん相談室_新年の家計見直し無料相談リード_2501	あゆみのほけん相談室	リード	静止画	1741573	712	19506	1.12%	1226460	1.42	1240000	2025/01/14	2025/02/13	2025/01/14〜2025/02/13
株式会社あゆみのほけん相談室	あゆみのほけん相談室_新生活ライフプラン相談リード_2504	あゆみのほけん相談室	リード	静止画	2187500	768	28000	1.28%	1358696	1.61	1680000	2025/04/07	2025/05/11	2025/04/07〜2025/05/11
株式会社あゆみのほけん相談室	あゆみのほけん相談室_学資保険オンライン相談リード_2509	あゆみのほけん相談室	リード	静止画	2677460	803	37752	1.41%	1424181	1.88	2150000	2025/09/01	2025/10/05	2025/09/01〜2025/10/05
株式会社あゆみのほけん相談室	あゆみのほけん相談室_年末保険見直しキャンペーンリード_2511	あゆみのほけん相談室	リード	静止画	1579710	690	24328	1.54%	1170156	1.35	1090000	2025/11/04	2025/12/14	2025/11/04〜2025/12/14
株式会社あゆみのほけん相談室	あゆみのほけん相談室_老後資金セミナー予約リード_2603	あゆみのほけん相談室	リード	静止画	1727811	845	23325	1.35%	992995	1.74	1460000	2026/03/02	2026/04/05	2026/03/02〜2026/04/05
株式会社あゆみのほけん相談室	あゆみのほけん相談室_ブランド認知_2502	あゆみのほけん相談室	認知	静止画	3283582	402	16418	0.50%	1397269	2.35	1320000	2025/02/20	2025/03/23	2025/02/20〜2025/03/23
株式会社あゆみのほけん相談室	あゆみのほけん相談室_相談無料訴求リーチ拡大認知_2506	あゆみのほけん相談室	認知	静止画	6775956	366	38623	0.57%	2437394	2.78	2480000	2025/06/02	2025/07/13	2025/06/02〜2025/07/13
株式会社あゆみのほけん相談室	あゆみのほけん相談室_新店舗オープン告知認知_2510	あゆみのほけん相談室	認知	静止画	2566964	448	16172	0.63%	1336960	1.92	1150000	2025/10/06	2025/11/09	2025/10/06〜2025/11/09
株式会社あゆみのほけん相談室	あゆみのほけん相談室_子育てファミリー層認知_2601	あゆみのほけん相談室	認知	静止画	2399050	421	16553	0.69%	1471810	1.63	1010000	2026/01/13	2026/02/15	2026/01/13〜2026/02/15
株式会社あゆみのほけん相談室	あゆみのほけん相談室_春の保険見直し認知_2604	あゆみのほけん相談室	認知	静止画	3688312	385	24343	0.66%	1668919	2.21	1420000	2026/04/13	2026/05/17	2026/04/13〜2026/05/17
株式会社つきしろ菓子工房	つきしろ菓子工房_バレンタイン新作認知_2501	つきしろ菓子工房	認知	静止画	1666667	372	9167	0.55%	859107	1.94	620000	2025/01/20	2025/02/13	2025/01/20〜2025/02/13
株式会社つきしろ菓子工房	つきしろ菓子工房_母の日ギフト認知_2504	つきしろ菓子工房	認知	静止画	2194514	401	13825	0.63%	1035148	2.12	880000	2025/04/14	2025/05/11	2025/04/14〜2025/05/11
株式会社つきしろ菓子工房	つきしろ菓子工房_涼菓フェア認知_2508	つきしろ菓子工房	認知	静止画	1508380	358	8598	0.57%	897845	1.68	540000	2025/08/01	2025/08/29	2025/08/01〜2025/08/29
株式会社つきしろ菓子工房	つきしろ菓子工房_秋の栗菓子ブランド認知_2510	つきしろ菓子工房	認知	静止画	2718447	412	17942	0.66%	1176817	2.31	1120000	2025/10/01	2025/10/31	2025/10/01〜2025/10/31
株式会社つきしろ菓子工房	つきしろ菓子工房_冬ギフトカタログ認知_2511	つきしろ菓子工房	認知	静止画	3547558	389	21640	0.61%	1436258	2.47	1380000	2025/11/10	2025/12/19	2025/11/10〜2025/12/19
株式会社つきしろ菓子工房	つきしろ菓子工房_ホワイトデー限定BOX購入促進_2502	つきしろ菓子工房	売上	静止画	871212	528	10629	1.22%	665047	1.31	460000	2025/02/24	2025/03/13	2025/02/24〜2025/03/13
株式会社つきしろ菓子工房	つきしろ菓子工房_父の日ギフトCV_2505	つきしろ菓子工房	売上	静止画	1304348	552	17087	1.31%	905797	1.44	720000	2025/05/26	2025/06/14	2025/05/26〜2025/06/14
株式会社つきしろ菓子工房	つきしろ菓子工房_お中元早期割CV_2506	つきしろ菓子工房	売上	静止画	1730449	601	23880	1.38%	1068178	1.62	1040000	2025/06/16	2025/07/13	2025/06/16〜2025/07/13
株式会社つきしろ菓子工房	つきしろ菓子工房_年末おせち和菓子CV_2512	つきしろ菓子工房	売上	静止画	2006472	618	28492	1.42%	1140041	1.76	1240000	2025/12/01	2025/12/25	2025/12/01〜2025/12/25
株式会社つきしろ菓子工房	つきしろ菓子工房_春の新作大福CV_2603	つきしろ菓子工房	売上	静止画	1522936	545	19189	1.26%	1022105	1.49	830000	2026/03/02	2026/03/29	2026/03/02〜2026/03/29
アクアリーフ飲料株式会社	アクアリーフ飲料_春の新商品スパークリング認知_2503	アクアリーフ飲料	認知	動画	2422680	388	12598	0.52%	992902	2.44	940000	2025/03/03	2025/03/30	2025/03/03〜2025/03/30
アクアリーフ飲料株式会社	アクアリーフ飲料_無糖麦茶ブランド認知_2505	アクアリーフ飲料	認知	動画	3283582	402	19045	0.58%	1211654	2.71	1320000	2025/05/12	2025/06/08	2025/05/12〜2025/06/08
アクアリーフ飲料株式会社	アクアリーフ飲料_夏の熱中症対策訴求認知_2507	アクアリーフ飲料	認知	動画	4494382	445	27865	0.62%	1422273	3.16	2000000	2025/07/07	2025/08/10	2025/07/07〜2025/08/10
アクアリーフ飲料株式会社	アクアリーフ飲料_機能性表示ドリンク認知_2509	アクアリーフ飲料	認知	動画	2457265	468	16218	0.66%	1077748	2.28	1150000	2025/09/08	2025/10/05	2025/09/08〜2025/10/05
