行番号,,会社名,会社HP・URL,問い合わせフォームURL,送信成功,手動送信,取得日,手動送信,担当者名,事務備考,ステータス,結果区分,結果詳細,実行日
2,A,株式会社BUZZ,https://buzzsns.com/,https://buzzsns.com/contact/,info@buzzsns.com,不明,2026-08-18,要相談,Emi,,,独立も目指せるMETA広告運用担当者を募集／SNSコンサルティング企業,急募,,Meta広告運用,一括スイープ(求人ボックス・24h制限なし)。種別/勤務地は未取得
3,A,株式会社Hagakure,https://hagakure-inc.com/,https://hagakure-inc.com/contact,不明,不明,46252,✓,Emi,,,広告運用コンサルタント／Webマーケティング・ネット広告,,,広告運用,一括スイープ(求人ボックス・24h制限なし)。種別/勤務地は未取得
4,S,株式会社MOTA,https://mota.inc/,https://mota.inc/contact/,不明,不明,46253,,,,,17／15／メディアプランナー／YouTube 等のプランニング担当 / マーケティング責任者候補 / Mgr候補／大規模な予算を活用し成果をダイレクトに実感しながら戦略的な... / 17／03／Webマーケティング／Web広告プランナー／運用担当,同日4求人・管理職,,YouTube広告運用/マーケティング責任者/広告運用担当,媒体:求人ボックス｜掲載元:マイナビスカウティング- 登録エントリー/ミドルの転職/株式会社MOTA｜一括バックフィル(過去分含む)
5,B,CTW株式会社,https://ctw.inc/,https://ctw.inc/contact,不明,不明,46253,,,,,自社ゲームのマーケティングプロモーション企画など／未経験歓迎／残業10時間程度,,,YouTube広告運用,媒体:求人ボックス｜掲載元:CTW株式会社｜一括バックフィル(過去分含む)
6,A,株式会社ecbeing,https://www.ecbeing.net/,https://www.ecbeing.net/contacts/,info@ecbeing.co.jp,不明,46253,,,,,ECディレクター プライム案件／ナショナルクライアント／デジタルマーケティング提案／DX支援,,,デジタルマーケティング,媒体:求人ボックス｜掲載元:Green｜一括バックフィル(過去分含む)
7,B,株式会社クレーる,https://claire-claire.co.jp/,https://claire-claire.co.jp/inquiry/,不明,不明,46253,,,,,地域を元気にさせる広告プランナー,,,広告プランナー,媒体:求人ボックス｜掲載元:株式会社クレーる｜一括バックフィル(過去分含む)
8,S,株式会社mov,https://mov.am/,https://mov.am/contact/,i@mov.am,不明,46253,,,,,インサイドセールスマーケティング 渋谷／Webマーケティング・ネット広告 / デジタルマーケター／在宅可／広告運用からWebマーケ全般／インバウンド領域／500万円～900万円,同日2求人・急募,,LINE広告運用/リスティング広告運用,媒体:求人ボックス｜掲載元:Green/リクルートダイレクトスカウト｜一括バックフィル(過去分含む)
9,A,株式会社NBS,https://www.nbs-nbs.com/,https://www.nbs-nbs.com/contact/,不明,不明,46258,,,,正社員,名古屋/「マーケティング」美を前進させる総合美容メーカー 社員割引有・土日祝休・125日・転勤なし/Webマーケティング関連職/企画職,-,愛知県 名古屋市 上前津駅,Meta広告運用,媒体:求人ボックス｜掲載元:dodaエージェントサービス｜-
10,B,株式会社ハーブ健康本舗,https://www.herb-kenko.com/,https://www.herb-kenko.com/contact/,不明,不明,46258,,,,正社員,天神/AI推進担当/EC事業×AI/リーダー候補 年商150億規模/社長直下の新設ポジション/Webマーケティング関連職,AI推進担当(EC×AI)。広告運用の明示なし,福岡県 福岡市 天神駅,Webマーケティング,媒体:求人ボックス｜掲載元:dodaエージェントサービス｜AI推進担当(EC×AI)。広告運用の明示なし
11,B,東建コーポレーション株式会社,https://www.token.co.jp/,https://www.token.co.jp/inquiry/,不明,不明,46258,,,,正社員,名古屋/テクニカルSEO担当 年間休日128日/フレックス制/プライム上場企業/Webマーケティング関連職/企画職,テクニカルSEO担当。SEOは明示だが広告運用ではない,愛知県 名古屋市 丸の内駅,Webマーケティング,媒体:求人ボックス｜掲載元:dodaエージェントサービス｜テクニカルSEO担当。SEOは明示だが広告運用ではない
12,B,クラウドサーカス株式会社,https://cloudcircus.jp/,https://cloudcircus.jp/contact/,不明,不明,46258,,,,正社員,福岡/リモート可/AI開発エンジニア デジタルマーケティング領域特化のSaaS/上場G/Webサービス系エンジニア・プログラマ,職種はAI開発エンジニア(マーケティングSaaS領域)、広告運用ではないため要確認,福岡県 福岡市 博多駅,デジタルマーケティング,媒体:求人ボックス｜掲載元:doda- 登録エントリー｜職種はAI開発エンジニア(マーケティングSaaS領域)、広告運用ではないため要確認
13,A,株式会社nyans,https://nyans.co.jp/,https://nyans.co.jp/confirm/,info@nyans.co.jp,不明,46258,,,,,SNS広告運用 未経験OK／通勤手当あり／社会保険完備／フリーター歓迎／禁煙・分煙／土日祝休／週休2日／増員募集,同時3求人,福岡県 福岡市中央区,SNS広告運用,媒体:スタンバイ｜判定:strong(タイトルでSNS広告×運用)｜自動スイープ
