元の行番号,会社名,分類,理由,サイトURL,フォームURL
2,株式会社スパイスボックス,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社スパイスボックス,https://www.spicebox.co.jp/,https://www.spicebox.co.jp/contact/
4,カイテク株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: カイテク株式会社,https://corp.caitech.co.jp/,https://corp.caitech.co.jp/contact/
7,株式会社フルスピード,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社フルスピード,https://www.fullspeed.co.jp/,https://www.fullspeed.co.jp/contact/
8,株式会社KINTO,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社KINTO,https://corp.kinto-jp.com/,不明
9,株式会社ピアラ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ピアラ,https://www.piala.co.jp/,https://www.piala.co.jp/en/contact
12,バレットグループ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: バレットグループ株式会社,https://bltinc.co.jp/,https://bltinc.co.jp/contact/
15,株式会社マイベスト,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社マイベスト,https://my-best.com/,https://business.my-best.com/contact
26,レバレジーズ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: レバレジーズ株式会社,https://leverages.jp/,不明
29,株式会社sizebook,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社sizebook,https://sizebook.co.jp/,https://sizebook.co.jp/contact_agent.html
33,株式会社FULMARK,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社FULMARK,https://fulmark.jp/,https://contact.fulmark.jp/n/form/c/v1/otpb/forms/4KhxQH4RStTACnnmcaPGe
35,株式会社ココラブル,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ココラブル,https://www.cocolable.co.jp/,不明
37,株式会社アドスタイル,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社アドスタイル,https://adstyle.jp/,https://adstyle.jp/inquiry
38,株式会社ワンキャリア,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ワンキャリア,https://onecareer.co.jp/,https://service.onecareer.jp/contact/
42,株式会社ツクルバ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ツクルバ,https://tsukuruba.com/,https://tsukuruba.com/inquiry/
50,株式会社UN5UNGBUT,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社UN5UNG BUT,https://un5ungbut.jp/,不明
52,株式会社はこ,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社はこ,https://www.ha-ko.co.jp/,不明
54,株式会社ディスカバリー,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社ディスカバリー,要確認,不明
65,株式会社Hakuhodo DY ONE,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: 株式会社Hakuhodo DY ONE,https://www.hakuhodody-one.co.jp/,https://www.hakuhodody-one.co.jp/contact/
70,ポート株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: ポート株式会社,https://www.theport.jp/,https://www.theport.jp/contact
74,アドリブ株式会社,除外リスト該当(同一法人),完全一致(表記ゆれ含む) / 除外リスト: アドリブ株式会社,https://www.adliv.co.jp/,不明
