行番号,会社名,理由,サイトURL
210,株式会社メディカルハンズ,残した（別法人と判断） / 除外の株式会社ハンズ とは別会社,https://www.medical-hands.net/
505,NTT東日本株式会社,残した（別法人と判断） / 除外にあるのは株式会社NTTドコモ。NTT東日本は別法人でリストに無い,https://www.ntt-east.co.jp/
627,株式会社エムジー広島,残した（要確認） / 224行目「株式会社エムジー熊本」と同一ドメインだが別法人の可能性（フォームURLが別）,https://m-group.co.jp/
1059,株式会社Lib Work,残した（別法人と判断） / 除外の株式会社LiB とは別会社（Lib Work は住宅メーカー）,https://www.libwork.co.jp/
1278,Blue Zone株式会社,残した（別法人と判断） / 除外のBlue株式会社 とは別会社,要確認
1371,インタラクティブ株式会社,残した（別法人と判断） / 除外のjekiインタラクティブ・コミュニケーションズ とは別会社,https://www.inta.co.jp/
1386,GMOコマース株式会社,残した（別法人と判断） / 除外にあるのはGMO TECH／GMOメイクショップ。GMOコマースは別法人でリストに無い,https://www.gmo-c.jp/
1879,株式会社ラクス,残した（別法人と判断） / 除外のラクスル株式会社 とは別会社,https://www.rakus.co.jp/
2070,有限責任監査法人トーマツ,残した（要確認） / 1619行目「合同会社デロイトトーマツ」と同一ドメインだが別法人の可能性（フォームURLが別）,https://www.deloitte.com/jp/ja/about/group/deloitte-touche-tohmatsu.html
2090,合同会社ライト,残した（別法人と判断） / 除外は株式会社ライト。法人格が違うので別法人の可能性が高い,要確認
2115,富士フイルムビジネスイノベーション株式会社,残した（要確認） / 1291行目「株式会社富士フイルムヘルスケアラボラトリー」と同一ドメインだが別法人の可能性（フォームURLが別）,https://www.fujifilm.com/fb/ja
